County,Total Ballots Cast,Total Female,Total Male,Total Not Identified
2024 General Election Participation by Gender,,,,
AUTAUGA,"28,401","15,750","12,581",82
BALDWIN,"122,501","66,932","55,452",117
BARBOUR,"9,901","5,646","4,236",19
BIBB,"9,283","5,017","4,264",2
BLOUNT,"28,255","15,026","13,213",16
BULLOCK,"4,105","2,456","1,639",10
BUTLER,"8,112","4,682","3,430",0
CALHOUN,"48,732","27,074","21,581",77
CHAMBERS,"13,687","7,725","5,936",26
CHEROKEE,"12,528","6,627","5,898",3
CHILTON,"19,765","10,778","8,970",17
CHOCTAW,"6,645","3,727","2,914",4
CLARKE,"11,975","6,779","5,168",28
CLAY,"6,737","3,566","3,160",11
CLEBURNE,"7,676","4,030","3,641",5
COFFEE,"22,364","12,139","10,199",26
COLBERT,"27,264","14,963","12,248",53
CONECUH,"5,552","3,086","2,462",4
COOSA,"5,265","2,791","2,472",2
COVINGTON,"17,113","9,377","7,725",11
CRENSHAW,"6,493","3,618","2,873",2
CULLMAN,"43,318","23,004","20,297",17
DALE,"19,177","10,543","8,624",10
DALLAS,"15,720","9,389","6,320",11
DEKALB,"29,709","15,909","13,791",9
ELMORE,"41,787","23,109","18,639",39
ESCAMBIA,"15,005","8,519","6,480",6
ETOWAH,"45,822","25,210","20,571",41
FAYETTE,"8,398","4,473","3,925",0
FRANKLIN,"12,167","6,514","5,652",1
GENEVA,"12,395","6,641","5,753",1
GREENE,"4,045","2,353","1,690",2
HALE,"7,339","4,196","3,132",11
HENRY,"9,298","5,074","4,216",8
HOUSTON,"44,563","24,898","19,638",27
JACKSON,"23,668","12,491","11,163",14
JEFFERSON,"299,196","174,630","124,453",113
LAMAR,"6,915","3,683","3,231",1
LAUDERDALE,"42,188","23,008","19,135",45
LAWRENCE,"16,059","8,530","7,518",11
LEE,"73,628","40,964","32,511",153
LIMESTONE,"53,584","28,747","24,817",20
LOWNDES,"5,705","3,275","2,427",3
MACON,"7,904","4,750","3,122",32
MADISON,"198,145","107,214","90,727",204
MARENGO,"9,708","5,579","4,124",5
MARION,"13,602","7,230","6,362",10
MARSHALL,"40,472","21,641","18,813",18
MOBILE,"176,426","101,207","75,021",198
MONROE,"9,841","5,534","4,304",3
MONTGOMERY,"90,098","54,562","35,466",70
MORGAN,"53,681","29,193","24,472",16
PERRY,"4,496","2,632","1,862",2
PICKENS,"8,924","5,038","3,870",16
PIKE,"13,262","7,534","5,720",8
RANDOLPH,"11,145","6,055","5,077",13
RUSSELL,"20,840","12,013","8,812",15
SHELBY,"115,155","63,794","51,272",89
ST_CLAIR,"43,894","24,080","19,797",17
SUMTER,"5,335","3,197","2,138",0
TALLADEGA,"33,886","19,182","14,673",31
TALLAPOOSA,"20,155","11,150","8,994",11
TUSCALOOSA,"85,380","48,497","36,790",93
WALKER,"29,843","16,062","13,749",32
WASHINGTON,"8,463","4,605","3,855",3
WILCOX,"5,268","3,028","2,240",0
WINSTON,"11,153","5,929","5,215",9
TOTALS,"2,269,116","1,266,655","1,000,520","1 ,953"
