year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,497,2020-General-DeKalb.xls
2020,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,33,2020-General-DeKalb.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,30164,2020-General-Elmore.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,398,2020-General-Elmore.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,10367,2020-General-Elmore.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,30,2020-General-Elmore.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,86,2020-General-Elmore.xls
2020,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,101,2020-General-Elmore.xls
2020,Elmore,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,30572,2020-General-Elmore.xls
2020,Elmore,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,10029,2020-General-Elmore.xls
2020,Elmore,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,13,2020-General-Elmore.xls
2020,Elmore,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,505,2020-General-Elmore.xls
2020,Elmore,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,25,2020-General-Elmore.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,35528,2020-General-Etowah.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,531,2020-General-Etowah.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,11567,2020-General-Etowah.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,62,2020-General-Etowah.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,81,2020-General-Etowah.xls
2020,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,102,2020-General-Etowah.xls
2020,Etowah,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,11369,2020-General-Etowah.xls
2020,Etowah,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,35914,2020-General-Etowah.xls
2020,Etowah,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,39,2020-General-Etowah.xls
2020,Etowah,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,500,2020-General-Etowah.xls
2020,Etowah,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,46,2020-General-Etowah.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,7300,2020-General-Fayette.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,56,2020-General-Fayette.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1395,2020-General-Fayette.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,25,2020-General-Fayette.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,24,2020-General-Fayette.xls
2020,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,15,2020-General-Fayette.xls
2020,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,1360,2020-General-Fayette.xls
2020,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,7302,2020-General-Fayette.xls
2020,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,5,2020-General-Fayette.xls
2020,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,144,2020-General-Fayette.xls
2020,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,4,2020-General-Fayette.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10376,2020-General-Franklin.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,106,2020-General-Franklin.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,2086,2020-General-Franklin.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,22,2020-General-Franklin.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,65,2020-General-Franklin.xls
2020,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,10,2020-General-Franklin.xls
2020,Franklin,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,2127,2020-General-Franklin.xls
2020,Franklin,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,10253,2020-General-Franklin.xls
2020,Franklin,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,2,2020-General-Franklin.xls
2020,Franklin,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,277,2020-General-Franklin.xls
2020,Franklin,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,6,2020-General-Franklin.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10848,2020-General-Geneva.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,90,2020-General-Geneva.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1595,2020-General-Geneva.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,17,2020-General-Geneva.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,26,2020-General-Geneva.xls
2020,Geneva,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,12,2020-General-Geneva.xls
2020,Geneva,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,10837,2020-General-Geneva.xls
2020,Geneva,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,1599,2020-General-Geneva.xls
2020,Geneva,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,6,2020-General-Geneva.xls
2020,Geneva,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,137,2020-General-Geneva.xls
2020,Geneva,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,9,2020-General-Geneva.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,6607,2020-General-Henry.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,69,2020-General-Henry.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,2606,2020-General-Henry.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,15,2020-General-Henry.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,25,2020-General-Henry.xls
2020,Henry,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,16,2020-General-Henry.xls
2020,Henry,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,6624,2020-General-Henry.xls
2020,Henry,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,2527,2020-General-Henry.xls
2020,Henry,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,2,2020-General-Henry.xls
2020,Henry,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,179,2020-General-Henry.xls
2020,Henry,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,6,2020-General-Henry.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,32618,2020-General-Houston.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,533,2020-General-Houston.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,12917,2020-General-Houston.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,63,2020-General-Houston.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,69,2020-General-Houston.xls
2020,Houston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,105,2020-General-Houston.xls
2020,Houston,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,32937,2020-General-Houston.xls
2020,Houston,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,12748,2020-General-Houston.xls
2020,Houston,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,42,2020-General-Houston.xls
2020,Houston,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,522,2020-General-Houston.xls
2020,Houston,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,55,2020-General-Houston.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,19670,2020-General-Jackson.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,208,2020-General-Jackson.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,3717,2020-General-Jackson.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,25,2020-General-Jackson.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,68,2020-General-Jackson.xls
2020,Jackson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,41,2020-General-Jackson.xls
2020,Jackson,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,8,2020-General-Jackson.xls
2020,Jackson,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,80,2020-General-Jackson.xls
2020,Jackson,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2020-General-Jackson.xls
2020,Jackson,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,2,2020-General-Jackson.xls
2020,Jackson,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,0,2020-General-Jackson.xls
2020,Jackson,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",candidate,REP,Mo Brooks,19420,2020-General-Jackson.xls
2020,Jackson,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,3,2020-General-Jackson.xls
2020,Jackson,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,4001,2020-General-Jackson.xls
2020,Jackson,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,205,2020-General-Jackson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,138843,2020-General-Jefferson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,3578,2020-General-Jefferson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,181688,2020-General-Jefferson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,275,2020-General-Jefferson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,886,2020-General-Jefferson.xls
2020,Jefferson,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,1739,2020-General-Jefferson.xls
2020,Jefferson,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,135207,2020-General-Jefferson.xls
2020,Jefferson,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,38,2020-General-Jefferson.xls
2020,Jefferson,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,57275,2020-General-Jefferson.xls
2020,Jefferson,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,5361,2020-General-Jefferson.xls
2020,Jefferson,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",candidate,DEM,Terri A. Sewell,110212,2020-General-Jefferson.xls
2020,Jefferson,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,45,2020-General-Jefferson.xls
2020,Jefferson,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,17399,2020-General-Jefferson.xls
2020,Jefferson,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,1110,2020-General-Jefferson.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,6174,2020-General-Lamar.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,33,2020-General-Lamar.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,978,2020-General-Lamar.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,2,2020-General-Lamar.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,16,2020-General-Lamar.xls
2020,Lamar,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,8,2020-General-Lamar.xls
2020,Lamar,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,943,2020-General-Lamar.xls
2020,Lamar,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,6168,2020-General-Lamar.xls
2020,Lamar,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2020-General-Lamar.xls
2020,Lamar,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,100,2020-General-Lamar.xls
2020,Lamar,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,1,2020-General-Lamar.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,31721,2020-General-Lauderdale.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,537,2020-General-Lauderdale.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,11915,2020-General-Lauderdale.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,40,2020-General-Lauderdale.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,131,2020-General-Lauderdale.xls
2020,Lauderdale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,166,2020-General-Lauderdale.xls
2020,Lauderdale,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",candidate,REP,Mo Brooks,33023,2020-General-Lauderdale.xls
2020,Lauderdale,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,6,2020-General-Lauderdale.xls
2020,Lauderdale,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,10574,2020-General-Lauderdale.xls
2020,Lauderdale,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,907,2020-General-Lauderdale.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,12322,2020-General-Lawrence.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,126,2020-General-Lawrence.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,3562,2020-General-Lawrence.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,14,2020-General-Lawrence.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,56,2020-General-Lawrence.xls
2020,Lawrence,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,21,2020-General-Lawrence.xls
2020,Lawrence,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,3471,2020-General-Lawrence.xls
2020,Lawrence,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,12287,2020-General-Lawrence.xls
2020,Lawrence,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,7,2020-General-Lawrence.xls
2020,Lawrence,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,326,2020-General-Lawrence.xls
2020,Lawrence,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,10,2020-General-Lawrence.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,42221,2020-General-Lee.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,1019,2020-General-Lee.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,27860,2020-General-Lee.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,52,2020-General-Lee.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,124,2020-General-Lee.xls
2020,Lee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,349,2020-General-Lee.xls
2020,Lee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,26320,2020-General-Lee.xls
2020,Lee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,44235,2020-General-Lee.xls
2020,Lee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,43,2020-General-Lee.xls
2020,Lee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,942,2020-General-Lee.xls
2020,Lee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,82,2020-General-Lee.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,34640,2020-General-Limestone.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,748,2020-General-Limestone.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,13672,2020-General-Limestone.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,57,2020-General-Limestone.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,91,2020-General-Limestone.xls
2020,Limestone,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,175,2020-General-Limestone.xls
2020,Limestone,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",candidate,REP,Mo Brooks,37371,2020-General-Limestone.xls
2020,Limestone,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,4,2020-General-Limestone.xls
2020,Limestone,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,10720,2020-General-Limestone.xls
2020,Limestone,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,1288,2020-General-Limestone.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,102780,2020-General-Madison.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,3699,2020-General-Madison.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,87286,2020-General-Madison.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,122,2020-General-Madison.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,485,2020-General-Madison.xls
2020,Madison,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,1002,2020-General-Madison.xls
2020,Madison,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",candidate,REP,Mo Brooks,121634,2020-General-Madison.xls
2020,Madison,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,23,2020-General-Madison.xls
2020,Madison,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,65297,2020-General-Madison.xls
2020,Madison,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,7866,2020-General-Madison.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,12205,2020-General-Marion.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,115,2020-General-Marion.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1463,2020-General-Marion.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,18,2020-General-Marion.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,30,2020-General-Marion.xls
2020,Marion,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,24,2020-General-Marion.xls
2020,Marion,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,1462,2020-General-Marion.xls
2020,Marion,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,12246,2020-General-Marion.xls
2020,Marion,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,3,2020-General-Marion.xls
2020,Marion,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,135,2020-General-Marion.xls
2020,Marion,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,9,2020-General-Marion.xls
