year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,113,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,14389,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,36137,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,40,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,533,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,46,2020-General-Calhoun.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,8753,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,141,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,6365,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,20,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,28,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,25,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,6091,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,8989,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,14,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,228,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,10,2020-General-Chambers.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10583,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,82,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1624,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,25,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,20,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,12,2020-General-Cherokee.xls
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,1399,2020-General-Cherokee.xls
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,9964,2020-General-Cherokee.xls
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,5,2020-General-Cherokee.xls
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,166,2020-General-Cherokee.xls
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,3,2020-General-Cherokee.xls
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,96,2020-General-Cherokee.xls
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,705,2020-General-Cherokee.xls
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2020-General-Cherokee.xls
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,7,2020-General-Cherokee.xls
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,0,2020-General-Cherokee.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,16085,2020-General-Chilton.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,123,2020-General-Chilton.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,3073,2020-General-Chilton.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,18,2020-General-Chilton.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,38,2020-General-Chilton.xls
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,29,2020-General-Chilton.xls
2020,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,16111,2020-General-Chilton.xls
2020,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2020-General-Chilton.xls
