year,county_name,registered_total,active_asian,active_american_indian,active_black,active_federally_registered,active_hispanic,active_korean,active_white,active_other,active_not_identified,active_total,inactive_asian,inactive_american_indian,inactive_black,inactive_federally_registered,inactive_hispanic,inactive_korean,inactive_white,inactive_other,inactive_not_identified,inactive_total
2020,Shelby,164967,1788,230,20021,0,2554,0,130726,1344,1336,157999,79,29,891,0,119,0,5607,200,43,6968
2024,Shelby,178295,2002,213,22790,1,3421,0,132669,2183,1062,164341,195,33,2170,0,316,0,10825,216,199,13954
2020,St. Clair,67871,285,114,5864,0,464,0,57963,324,251,65265,19,7,218,0,29,0,2304,24,5,2606
2024,St. Clair,72796,331,91,6985,0,608,1,59652,413,156,68237,59,15,510,0,72,0,3836,40,27,4559
2020,Talladega,58893,186,100,18638,4,231,0,36533,262,191,56145,8,7,970,1,24,0,1699,28,11,2748
2024,Talladega,61464,183,75,17759,2,319,0,36958,304,200,55800,34,21,2502,0,60,0,2943,55,49,5664
2020,Tallapoosa,31934,72,52,7594,0,139,0,22043,109,75,30084,10,12,518,1,8,0,1284,11,6,1850
2024,Tallapoosa,32574,69,39,7203,0,198,0,21984,153,77,29723,18,9,866,0,27,0,1887,23,21,2851
2020,Tuscaloosa,149856,818,208,43277,2,1222,2,91258,1181,1011,138979,75,26,2987,0,133,2,7270,288,96,10877
2024,Tuscaloosa,155302,809,179,43788,2,1503,1,86259,1202,623,134366,212,54,6091,0,327,0,13505,421,326,20936
2020,Walker,49095,108,80,2944,1,195,0,42727,336,118,46509,4,4,265,0,27,0,2249,30,7,2586
2024,Walker,49439,111,61,2864,1,268,0,42140,331,101,45877,17,17,386,0,36,0,3037,38,31,3562
2020,Winston,17096,35,34,69,0,110,1,16055,32,36,16372,1,3,5,0,5,0,708,2,0,724
2024,Winston,17887,33,30,93,0,160,0,16477,50,39,16882,7,3,6,0,13,0,968,4,4,1005
